entry_id,headword_raw,headword_norm,homonym_roman,pos_primary,labels,has_phrases,raw_text,page_start,page_end
111,АБОНЕМЕНТ,абонемент,,,,0,АБОНЕМЕНТ абонемент; библиотеканыҥ абонементи абонемент библиотеки,18,18
112,АБРА,абра,I,,,0,"АБРА I 1) телега, повозка; ср. терген; агаш абра деревянная телега; 2) колесница; jебрен абра древняя колесница",18,18
113,АБРА,абра,II,,,0,"АБРА II 1) миф. абра (водяное чудовище, живущее в море Бай-Тенгис около места пребывания Эрлика); 2) рел. абра (изображение мифического чудовища в виде жгута с пучками перьев совы и медной бляхой — украшение ритуальной одежды шамана)",18,18
114,АБРАЛА-,абрала,,,,0,"АБРАЛАзапрягать телегу, повозку; атты абралаар запрягать лошадь в телегу",18,18
115,АБРАТ,абрат,,,,0,АБРАТ обрат; бозуларды абратла азыраар кормить телят обратом,18,18
116,АБРА-ЧАНАК,абрачанак,,,,0,АБРА-ЧАНАК собир. телега и сани;,18,18
117,Кара,кара,,,,0,"Кара черӱге барар санааны чек ундыган соондо, Макар оны абра-чанак эдетен јерге экелип, ишке кийдирген (И. Шинжин) После того как Кара совсем забыл о мысли идти в армию, Макар, приведя его на место, где изготавливают телеги и сани, устроил на работу -",18,19
118,АБУНЕ,абуне,,,,0,АБУНЕ,19,19
119,АБУНЕ,абуне,,,,0,АБУНЕ жена старшего брата по отцовской линии,19,19
120,АБЫГАЙ,абыгай,,,,0,АБЫГАЙ эвф. волк; ср. бӧрӱ,19,19
121,АБЫДА-,абыда,,,,0,"АБЫДА1) очаровывать, пленять, корять; соблазнять; ср. абыт-, алда-, апта-; бијечи кыс оныҥ јӱрегин абыдаган девушка-танцовщица покорила его сердце; 2) влиять, оказывать влияние; подчинять; …Ол уктарды каныктырып, кылыжына чике чурап барар эдип абыдайт (Б. Бедюров) …Он, ожесточая народы, влияет на них так, чтобы они бросались прямо на его саблю",19,19
122,АБЫДАЙ,абыдай,,,,0,АБЫДАЙ тёзка; ср. адаш 2,19,19
123,АБЫДАТ-,абыдат,,,,0,"АБЫДАТпонуд. от абыда-; Оны сӧслӧ jартап-jазап айдып билбезиҥ jе бу чындыгыҥ сени ичкери абыдадып jӱткиткен (Б. Бедюров) Это ты словами объяснить даже не умеешь, но эта твоя правда, влияя на тебя, заставила стремиться вперед",19,19
124,АБЫДУ,абыду,,,,0,"АБЫДУ 1) обаяние, очарование; соблазн; ср. ап; Кӱнбадышта — кӧк-тӧгӱн абыду (Б. Бедюров) На Западе — обманчивое очарование; 2) влияние; мен оныҥ абыдузына кирбегем я не поддался его влиянию",19,19
125,АБЫJЫ,абыjы,,,,0,АБЫJЫ 1) младшая сестра дедушки; абык; 2) эвф. мачеха; ср. ӧӧй эне; 3) почтительное обращение к старой женщине,19,19
126,АБЫJЫК,абыjык,,,,0,АБЫJЫК см. абыјы,19,19
127,АБЫJЫН,абыjын,,,,0,"АБЫJЫН качание, колебание",19,19
128,АБЫЗЫН,абызын,I,,,0,АБЫЗЫН I сношенница (жёна одного брата по отношению к жене другого брата); Айару ла Айсулу — абызындар Айару и Айсулу — сношенницы,19,19
129,АБЫЗЫН,абызын,II,,,0,"АБЫЗЫН II 1) волшебство, чародейство, колдовство; ср. куулгазын; чӧрчӧк jеринде абызын волшебство в мире сказки; 2) волшебник, чародей, колдун; фокусник; Бу тен",19,19
130,Борбок-Кара,борбоккара,,,,0,"Борбок-Кара эмес, кандый бир артист эмезе абызын болбой?! (Б. Укачин) Это даже",19,19
131,"Борбок-Кара,",борбоккара,,,,0,"Борбок-Кара, а какой-то, наверное, артист или фокусник?!",19,19
132,АБЫЗЫН,абызын,III,,,0,"АБЫЗЫН III: јӱc абызын разный, разнообразный, всякий; jӱс абызын курсак разнообразная еда; А бис экӱ jуу-чактыҥ шыра-тӱбегин де ӧткӧн, jӱс абызын jерлер де, улус та кӧргӧн болзобыс, jе тӱҥей ле… (Б. Укачин) А мы вдвоём, несмотря на то, что попрошли муки войны, видели и разные земли, и людей, но всё равно…; jӱс абызын неме куучындаар всякое рассказывать",19,19
133,АБЫЗЫНДА-:,абызында,,,,0,"АБЫЗЫНДА-: jӱс абызындавсячески элменять, преображать; ол куучынын jӱс абызындап, улалтат он продолжает свой рассказ, всячески меняя [его]",19,19
134,АБЫЗЫНДАЛ-:,абызындал,,,,0,"АБЫЗЫНДАЛ-: jӱс абызындалстрад. от jӱс абызында1) всячески меняться, преображаться; оттор jӱс абызындалат огни сен всячески преображаются; 2) всячески менять де, (мнение, решение и т.п.); ол јӱс абызындалып, јартын айтпайт он, всячески меняя своё решение, ничего ясного не говорит",19,19
135,АБЫЗЫНДУ,абызынду,,,,0,"АБЫЗЫНДУ волшебный, чародейский, колдовской; ср. куулгазынду, албын-јилбин 1; [Кӧнтӱркей] «Алтыгы ороондо jуртаган",19,19
